"exposure_outcome","method","nsnp","OR","OR_lo","OR_hi","beta","se","pval","Heterogeneity_Q_p","Egger_intercept","Egger_intercept_p"
"IBD → PG","Inverse variance weighted","145","1.51","1.227","1.858","0.4123","0.1058","9.81989061304039e-05","0.753737909396747","0.041712105702502","0.111481266108811"
"IBD → PG","MR Egger","145","0.916","0.481","1.748","-0.0872","0.3294","0.791486130017637","0.753737909396747","0.041712105702502","0.111481266108811"
"IBD → PG","Weighted median","145","1.423","1.034","1.958","0.3524","0.163","0.0306014024726445","0.753737909396747","0.041712105702502","0.111481266108811"
"IBD → PG","Weighted mode","145","1.415","0.686","2.917","0.347","0.3691","0.348651079702291","0.753737909396747","0.041712105702502","0.111481266108811"
"Neutrophil count → PG","Inverse variance weighted","269","1.075","0.633","1.826","0.0722","0.2704","0.789410995982371","0.386219135742465","0.00199155356657408","0.902513322092071"
"Neutrophil count → PG","MR Egger","269","0.995","0.261","3.802","-0.0048","0.6839","0.994447838213169","0.386219135742465","0.00199155356657408","0.902513322092071"
"Neutrophil count → PG","Weighted median","269","0.934","0.397","2.198","-0.0688","0.4369","0.874935388083609","0.386219135742465","0.00199155356657408","0.902513322092071"
"Neutrophil count → PG","Weighted mode","269","0.931","0.211","4.119","-0.0712","0.7586","0.92528744964505","0.386219135742465","0.00199155356657408","0.902513322092071"
"White blood cell count → PG","Inverse variance weighted","345","1.303","0.822","2.065","0.2645","0.2349","0.260050438794539","0.44081891347718","0.000836688640015751","0.948828647870292"
"White blood cell count → PG","MR Egger","345","1.262","0.429","3.708","0.2326","0.55","0.672600917190724","0.44081891347718","0.000836688640015751","0.948828647870292"
"White blood cell count → PG","Weighted median","345","1.107","0.517","2.369","0.1018","0.3881","0.793041445966544","0.44081891347718","0.000836688640015751","0.948828647870292"
"White blood cell count → PG","Weighted mode","345","0.888","0.215","3.674","-0.1185","0.7244","0.870199497726659","0.44081891347718","0.000836688640015751","0.948828647870292"
"Neutrophil percentage → PG","Inverse variance weighted","242","1.574","0.894","2.772","0.4539","0.2886","0.115857199730406","0.530536004899014","-0.0352490814581679","0.0334178686286691"
"Neutrophil percentage → PG","MR Egger","242","6.289","1.569","25.216","1.8388","0.7085","0.0100323552673323","0.530536004899014","-0.0352490814581679","0.0334178686286691"
"Neutrophil percentage → PG","Weighted median","242","2.297","0.981","5.375","0.8315","0.4338","0.0552520289101275","0.530536004899014","-0.0352490814581679","0.0334178686286691"
"Neutrophil percentage → PG","Weighted mode","242","2.866","0.559","14.705","1.0531","0.8343","0.208079049503936","0.530536004899014","-0.0352490814581679","0.0334178686286691"
