gene,PG_mean,HD_mean,log2FC_PG_vs_HD,t,p
S100A9,15.924,9.235,6.689,6.9437,8.011970037349376e-05
S100A8,16.164,10.015,6.149,6.028,0.0001234747964025
CXCL1,9.614,5.8375,3.7765,4.0139,0.0132198371791663
MMP9,11.15,7.5813,3.5687,4.3224,0.0049091166018689
CSF3R,8.832,5.32,3.512,6.4526,0.0024369965707785
IL1B,7.77,4.3613,3.4088,3.3894,0.0249787160471843
SOCS3,10.002,6.8588,3.1432,5.8131,0.0001611822495185
IL6,6.704,3.8925,2.8115,3.876,0.0143407191986484
CXCL2,8.162,5.6437,2.5183,2.9826,0.0303469402155078
ISG15,9.24,7.3925,1.8475,3.609,0.0135112849972221
MX1,10.414,9.02,1.394,2.1246,0.0900800250400493
NFKB2,9.066,8.0813,0.9848,2.3549,0.0498375254218045
STAT3,11.98,11.1425,0.8375,4.7749,0.0007835597131682
TNF,6.996,6.2075,0.7885,1.9035,0.084387583685837
IL1RN,8.558,8.32,0.238,0.329,0.7580012420874866
NFKB1,7.982,8.0825,-0.1005,-0.3747,0.7186773922723346
JAK2,10.252,10.5113,-0.2592,-1.6351,0.1304508364230286
IL1A,4.412,5.1175,-0.7055,-0.6336,0.558654351863112
