Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Ribosome,80/158,1.8478363533249828e-15,5.876119603573445e-13,0,0,3.6994040708923457,125.50139886979144,RPL4;RPL5;MRPS15;RPL3;RPL32;RPL31;MRPS14;RPL34;RPLP1;RPLP0;RPL10A;MRPL34;RPL9;MRPL33;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPLP2;RPL38;RPL37;MRPL9;RPS11;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPL22;MRPS18A;RPL13A;RPSA;RPS3A;MRPS18C;MRPS9;RPL37A;RPL24;RPL27;RPL26;RPL29;UBA52;MRPL18;RPL11;MRPL10;MRPL11;MRPL20;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;MRPL23;MRPL24;MRPL21;MRPL30;RPS25;RPS28;RPS27;RPS29;RPL27A;FAU;RPS21;RPS24;RPS23
KEGG_2021_Human,Thermogenesis,86/232,9.836091603722469e-08,1.563938564991872e-05,0,0,2.1182745013106223,34.177559020209785,KLB;NDUFA13;NDUFA11;NDUFA12;COX4I1;NDUFA10;PRKAG1;COX6A1;COX7C;RPTOR;CREB3L4;RPS6KA2;MLST8;PRKG2;UQCRFS1;COA5;COX8A;SMARCC2;TSC2;NDUFC2;FRS2;SDHC;PRKAB1;ARID1B;COX6B1;COX7A2L;ADCY9;NDUFS8;NDUFS7;NDUFS5;NDUFS4;UQCRC1;NDUFS3;NDUFS2;PPARG;NDUFS1;UQCRC2;PLIN1;MGLL;NDUFB8;SMARCD2;KDM3B;NDUFB7;PRKAA2;NDUFB10;NPR1;NDUFB5;NDUFB4;ADCY4;ATP5MC2;NDUFB1;ADCY2;COX5B;COX7A1;ADCY6;UQCRH;ADCY5;ATP5MC1;ATP5F1A;SLC25A29;ATP5F1B;PRDM16;COX11;COX14;NDUFV3;SLC25A20;PPARGC1A;ATP5MG;NDUFV1;ATP5ME;NDUFA9;SMARCE1;ATP5PF;COA3;ATP5PD;NDUFA6;ATP5PB;NDUFA2;ATP5F1C;ATP5F1D;MTOR;NDUFAF5;RPS6KB2;ATP5PO;PNPLA2;COX20
KEGG_2021_Human,Oxidative phosphorylation,54/133,9.176717465032346e-07,9.727320512934286e-05,0,0,2.450537090973892,34.065960238445555,NDUFA13;NDUFA11;NDUFA12;COX4I1;NDUFA10;COX6A1;COX7C;UQCRFS1;ATP6V1E2;COX8A;NDUFC2;SDHC;COX6B1;COX7A2L;NDUFS8;PPA2;NDUFS7;NDUFS5;NDUFS4;UQCRC1;NDUFS3;NDUFS2;NDUFS1;UQCRC2;ATP6V1B1;NDUFB8;NDUFB7;NDUFB10;NDUFB5;NDUFB4;ATP5MC2;NDUFB1;COX5B;COX7A1;UQCRH;ATP5MC1;ATP5F1A;ATP5F1B;ATP6V0A2;COX11;NDUFV3;ATP5MG;NDUFV1;ATP5ME;LHPP;NDUFA9;ATP5PF;ATP5PD;NDUFA6;ATP5PB;NDUFA2;ATP5F1C;ATP5F1D;ATP5PO
KEGG_2021_Human,Alzheimer disease,120/369,1.405463411374613e-06,0.00011173434120428176,0,0,1.735255999390108,23.38282356527257,APP;CHRM3;NDUFA13;NDUFA11;IRS1;NDUFA12;NDUFA10;COX6A1;PSMD8;PSMD4;KIF5C;AKT2;PSMD3;KIF5A;CAPN2;MAP2K2;CSNK2A2;SDHC;ATG14;DKK2;TUBA4A;COX6B1;COX7A2L;UQCRC1;ULK2;ULK1;UQCRC2;RTN3;NDUFB10;PIK3R4;ATP5MC2;PSEN2;PIK3R2;CACNA1D;ITPR3;PIK3R1;COX7A1;RTN4;UQCRH;ATP5MC1;APH1A;KLC4;WNT6;GRIN2A;KLC3;DVL1;DVL2;FADD;NAE1;NDUFV3;NDUFV1;WNT4;WNT10B;WNT10A;FZD4;WNT3A;FZD7;FZD8;GRIN2B;MCU;ATG2B;TUBA8;WNT2B;COX4I1;PIK3CD;ATP2A1;IDE;COX7C;RYR3;PPP3CA;PPP3CB;TUBA1A;UQCRFS1;NOS1;COX8A;WNT9B;NDUFC2;WNT9A;AXIN2;TUBB2B;PLCB4;NDUFS8;NDUFS7;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1;MAPT;SLC25A4;NDUFB8;NDUFB7;NDUFB5;NDUFB4;LRP5;NDUFB1;AMBRA1;COX5B;LRP6;ATP5F1A;ATP5F1B;WNT11;MAPK1;APBB1;MAPK3;SNCA;NDUFA9;ATP5PF;ATP5PD;NDUFA6;ATP5PB;BAD;WNT7B;NDUFA2;ATP5F1C;ATP5F1D;MTOR;PSMC5;PSMC3;ATP5PO
KEGG_2021_Human,"Valine, leucine and isoleucine degradation",25/48,4.50262094587964e-06,0.0002863666921579451,0,0,3.884835436477085,47.82562982297242,ACAA2;ECHS1;AACS;ACAT2;ACAT1;ALDH2;OXCT1;DBT;AOX1;ACADM;HMGCS2;MMUT;HADH;ACADS;ACAD8;BCKDHA;MCCC2;HMGCS1;BCKDHB;MCCC1;ACADSB;ALDH3A2;HADHA;ALDH6A1;DLD
KEGG_2021_Human,Propanoate metabolism,19/34,1.6926765929578496e-05,0.0008971185942676603,0,0,4.523229548229549,49.69497891659131,BCKDHA;ACSS3;ACSS2;ECHS1;BCKDHB;ACACB;ACAT2;ACAT1;HADHA;ALDH6A1;SUCLA2;ACOX1;DBT;SUCLG1;MLYCD;MMUT;ACSS1;ACADS;DLD
KEGG_2021_Human,Diabetic cardiomyopathy,70/203,2.575858853159311e-05,0.0011701758790066,0,0,1.8872755202808968,19.942354357371297,RYR2;NDUFA13;NDUFA11;IRS1;NDUFA12;COX4I1;NDUFA10;PIK3CD;ATP2A1;SLC2A4;COX6A1;COX7C;PPP1CC;MPC1;AKT2;MPC2;UQCRFS1;PDK2;COX8A;NDUFC2;SDHC;COX6B1;TGFBR2;COX7A2L;PLCB4;NDUFS8;NDUFS7;TBC1D4;NDUFS5;NDUFS4;AGTR1;UQCRC1;NDUFS3;NDUFS2;NDUFS1;UQCRC2;PPARA;SLC25A4;NDUFB8;NDUFB7;NDUFB10;NDUFB5;NDUFB4;ATP5MC2;NDUFB1;PIK3R2;PIK3R1;COX5B;COX7A1;UQCRH;ATP5MC1;ATP5F1A;ATP5F1B;PLN;NDUFV3;NDUFV1;SMAD2;NDUFA9;ATP5PF;TGFB2;ATP5PD;SMAD3;NDUFA6;ATP5PB;CMA1;NDUFA2;ATP5F1C;ATP5F1D;MTOR;ATP5PO
KEGG_2021_Human,Pathways of neurodegeneration,141/475,4.040586946912904e-05,0.0016061333113978,0,0,1.519104278489653,15.368072361026757,CHRM3;APP;NDUFA13;NDUFA11;NDUFA12;NDUFA10;COX6A1;ZFYVE1;PSMD8;PSMD4;KIF5C;PSMD3;KIF5A;CAPN2;MAP2K2;CSNK2A2;SDHC;ATG14;DKK2;TUBA4A;COX6B1;COX7A2L;UQCRC1;ULK2;ULK1;UQCRC2;UBA52;OPTN;GRIA2;NDUFB10;PIK3R4;ATP5MC2;PSEN2;ITPR3;CACNA1D;COX7A1;GABARAP;UQCRH;ATP5MC1;KLC4;WNT6;GRIN2A;KLC3;DVL1;DVL2;PLCG1;FADD;NDUFV3;NDUFV1;GRIA4;SPTBN2;PRPH;WNT4;WNT10B;TRAP1;WNT10A;FZD4;WNT3A;FZD7;FZD8;GRIN2B;BCL2;DNAL4;MCU;ATG2B;TUBA8;RYR1;RYR2;WNT2B;COX4I1;ATP2A1;COX7C;RYR3;PPP3CA;PPP3CB;TUBA1A;ACTR1B;UQCRFS1;NOS1;IFT57;COX8A;WNT9B;NDUFC2;WNT9A;AXIN2;TUBB2B;PLCB4;NDUFS8;ALS2;NDUFS7;NDUFS5;CAT;NDUFS4;NDUFS3;NDUFS2;NDUFS1;MAPT;SLC25A4;PRKN;NDUFB8;NDUFB7;DCTN2;NDUFB5;DCTN1;NDUFB4;DNAH6;LRP5;HTT;NDUFB1;DNAH9;AMBRA1;COX5B;LRP6;ATP5F1A;ATP5F1B;WNT11;ATXN1L;MFN2;MAPK1;RPS27A;MAPK3;SNCA;NDUFA9;ATP5PF;NDUFA6;ATP5PD;ATP5PB;BAD;WNT7B;NDUFA2;SEPTIN5;ATP5F1C;ATP5F1D;MTOR;SOD1;PSMC5;PINK1;PSMC3;VAPB;ATP5PO;ACTR10
KEGG_2021_Human,Peroxisome,34/82,5.464034433687386e-05,0.0019306254999028,0,0,2.5327839038211195,24.858610529964736,PECR;ABCD3;ECI2;MPV17L;PEX11B;PRDX5;SCP2;PMVK;HACL1;MLYCD;HAO2;NUDT12;PEX16;ACOT8;PHYH;PEX19;ECH1;PEX10;PEX1;PEX12;PEX14;SOD1;GNPAT;PEX7;NUDT7;SLC25A17;ACOX2;ACOX1;PEX3;CAT;PXMP2;PXMP4;FAR2;PEX11G
KEGG_2021_Human,Huntington disease,96/306,7.267745259449396e-05,0.0023111429925049,0,0,1.6409628125312117,15.637521260188167,NDUFA13;NDUFA11;NDUFA12;COX4I1;NDUFA10;COX6A1;COX7C;PSMD8;ACTR1B;TUBA1A;PSMD4;CREB3L4;KIF5C;SIN3A;PSMD3;KIF5A;UQCRFS1;IFT57;COX8A;NDUFC2;SDHC;ATG14;TUBA4A;COX6B1;COX7A2L;TUBB2B;PLCB4;NDUFS8;NDUFS7;NDUFS5;NDUFS4;UQCRC1;NDUFS3;TBPL1;ULK2;NDUFS2;ULK1;PPARG;NDUFS1;UQCRC2;TP53;SLC25A4;GRIA2;NDUFB8;NDUFB7;NDUFB10;DCTN2;DCTN1;NDUFB5;NDUFB4;DNAH6;PIK3R4;ATP5MC2;SLC1A2;HTT;NDUFB1;DNAH9;AMBRA1;COX5B;COX7A1;UQCRH;ATP5MC1;KLC4;ATP5F1A;KLC3;ATP5F1B;POLR2C;POLR2D;POLR2E;POLR2F;NDUFV3;POLR2I;PPARGC1A;NDUFV1;GRIA4;POLR2L;NDUFA9;ATP5PF;CREBBP;ATP5PD;NDUFA6;ATP5PB;NDUFA2;AP2B1;ATP5F1C;GRIN2B;ATP5F1D;MTOR;SOD1;PSMC5;PSMC3;ATP5PO;ACTR10;DNAL4;ATG2B;TUBA8
