Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Osteoclast differentiation,64/127,3.789382695841178e-17,1.174708635710765e-14,0,0,4.795423600259524,181.3233269174328,SPI1;CSF1;NCF2;ITGB3;NCF4;SIRPG;TREM2;TNF;SIRPB1;FCGR3A;FCGR3B;BLNK;SIRPA;ACP5;JUNB;IFNAR2;MAP2K1;CHUK;IL1R1;IFNGR1;IFNGR2;CYBA;TYK2;OSCAR;TNFRSF1A;IL1A;TYROBP;IFNG;LCK;IL1B;LCP2;IRF9;IFNAR1;LILRA6;LILRA1;LILRA2;LILRA4;LILRA5;RELB;SOCS3;SOCS1;PLCG2;FYN;FCGR1A;JUN;TGFB1;STAT1;STAT2;LILRB1;LILRB2;LILRB3;LILRB4;NFKB1;MAPK12;FOSL2;NFKB2;FOSL1;NFKBIA;CYLD;FCGR2A;TEC;CAMK4;GRB2;FCGR2C
KEGG_2021_Human,Rheumatoid arthritis,50/93,3.5696306095125994e-15,3.2519518424853014e-13,0,0,5.473583848943887,182.08596053061177,CD86;CXCL6;CSF2;CXCL8;FLT1;CSF1;CD80;ITGB2;CXCL1;TCIRG1;CXCL3;ITGAL;CXCL2;TNF;CXCL5;ICAM1;TNFSF13B;ACP5;CTLA4;HLA-DOA;IL11;ATP6V0B;IL15;MMP1;MMP3;IL1A;IFNG;IL23A;IL1B;LTB;HLA-DQB1;TLR2;ATP6V1A;CCL3L1;CCL3L3;HLA-DMB;CCL5;CCL3;CCL2;ATP6V1D;HLA-DQA1;JUN;TGFB1;CCL20;TGFB3;TNFSF13;VEGFA;IL6;CD28;HLA-DRA
KEGG_2021_Human,Epstein-Barr virus infection,83/202,4.485385200629754e-15,3.2519518424853014e-13,0,0,3.2992472242153013,109.00037148472354,RB1;CD40;CDKN1A;TNFAIP3;CD3G;CD3E;ITGAL;CD3D;TNF;ICAM1;TBK1;CASP8;CASP3;BLNK;PSMD1;POLK;HLA-DOA;IKBKE;JAK3;IFNAR2;MAP2K3;PDIA3;ENTPD1;APAF1;CHUK;HLA-B;TAP2;TAP1;HLA-A;TYK2;IRAK4;HLA-F;HLA-G;RUNX3;SAP30;TAPBP;CCNA2;OAS1;CCNE1;OAS2;TRAF3;OAS3;IRF7;IRF9;HLA-DQB1;TLR2;IFNAR1;RELB;HLA-DMB;BCL2L11;CD19;PLCG2;E2F3;CD58;BAK1;BID;HLA-DQA1;JUN;GADD45B;GADD45A;STAT1;STAT2;STAT3;ISG15;NFKB1;MAPK12;NFKB2;NFKBIA;CXCL10;IL6;PSMC4;NEDD4;PSMC1;CDK2;MDM2;FAS;HLA-DRA;BAX;CALR;CD247;NFKBIE;MYD88;NFKBIB
KEGG_2021_Human,TNF signaling pathway,56/112,5.428027109345468e-15,3.2519518424853014e-13,0,0,4.711659965537048,154.76484032307843,CXCL6;CSF2;CSF1;TNFAIP3;CXCL1;CXCL3;TNF;CXCL2;CXCL5;ICAM1;CASP7;CASP8;CASP3;MAP3K8;DNM1L;JUNB;MAP3K5;MAP2K3;MAP2K1;EDN1;CHUK;RIPK3;IL15;MMP3;TNFRSF1B;MMP9;TNFRSF1A;MMP14;TRAF3;IL1B;IRF1;LTA;PGAM5;BIRC2;BIRC3;CREB5;CEBPB;NOD2;PTGS2;SOCS3;CCL5;CCL2;JUN;VCAM1;MLKL;CCL20;CFLAR;SELE;NFKB1;MAPK12;NFKBIA;CXCL10;IL6;BCL3;FAS;IL18R1
KEGG_2021_Human,Cytokine-cytokine receptor interaction,108/295,5.523888538834211e-15,3.2519518424853014e-13,0,0,2.740368874822656,89.96547253156592,IL1RN;CSF3;TNFRSF6B;CSF2;CSF3R;CSF1;CCL4L1;CCL4L2;CXCL17;IL1RAP;CXCL13;TNF;IL27RA;CXCL16;IL18RAP;TNFSF10;IL6R;TNFRSF4;IFNAR2;IL4R;IL1R1;IL1R2;IL23A;IFNAR1;CCL3L1;CCL3L3;CSF2RB;TNFRSF17;IL36RN;TNFRSF14;CCR1;TGFB1;TNFSF14;TGFB3;TNFRSF9;TNFSF13;IL36G;BMP6;CXCL10;CXCL11;IL6;CD27;IL7R;IL21;CXCL6;CD40;CXCL9;IL20;CXCL8;TNFRSF13B;IL26;IL24;IL27;CXCL1;CXCL3;CXCL2;CXCL5;TNFSF13B;CCR7;CCR5;CCR2;IL10;IL11;TNFRSF12A;IFNGR1;IL15;IFNGR2;IL19;OSMR;TNFRSF1B;IL17RA;TNFRSF1A;IL1A;IFNG;IL1B;LTA;LTB;TNFRSF21;CCL11;CXCR4;CXCR6;IL1RL1;CCL8;CXCR1;CCL7;CCL5;CXCR2;CCL4;CCL3;IL21R;CCL2;CCL18;IL12RB1;CCL17;RELT;IL32;CCL22;CCL20;IL10RA;BMP8A;OSM;CD4;CLCF1;IL2RA;IL2RB;FAS;LTBR;IL18R1
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,52/100,6.294100340294132e-15,3.2519518424853014e-13,0,0,5.100927519602219,166.7960637515919,CXCL6;CXCL9;CXCL8;IL20;CSF1;CCL4L1;CCL4L2;IL24;CXCL1;CXCL13;CXCL3;TNF;CXCL2;CXCL5;IL18RAP;TNFSF10;CCR7;CCR5;IL6R;CCR2;IL10;IL19;TNFRSF1B;TNFRSF1A;LTA;CCL11;CCL3L1;CCL3L3;CXCR4;CCL8;CCL7;CXCR1;CCL5;CCL4;CXCR2;CCL3;CCL2;TNFRSF14;CCL18;CCL17;CCR1;CCL22;TNFSF14;CCL20;IL10RA;CXCL10;CXCL11;IL6;IL2RA;IL2RB;LTBR;IL18R1
KEGG_2021_Human,NF-kappa B signaling pathway,53/104,1.0416191266874594e-14,4.612884703901606e-13,0,0,4.893706923228402,157.55492502145387,CD40;CXCL8;CCL4L1;CCL4L2;TNFAIP3;CXCL1;CXCL3;TNF;CXCL2;ICAM1;TNFSF13B;PLAU;BLNK;TRIM25;ERC1;LBP;PIAS4;TICAM2;CHUK;IL1R1;PRKCB;IRAK4;TICAM1;TNFRSF1A;ZAP70;LCK;TRAF3;IL1B;LTA;PRKCQ;LTB;BIRC2;BIRC3;BCL2A1;BCL10;PTGS2;MALT1;RELB;CCL4;PLCG2;CD14;VCAM1;GADD45B;TNFSF14;GADD45A;CFLAR;NFKB1;NFKB2;NFKBIA;CYLD;LTBR;LAT;MYD88
KEGG_2021_Human,Tuberculosis,74/180,1.3073206707441894e-13,5.065867599133734e-12,0,0,3.296287419931152,97.7864312902305,CIITA;ITGAM;ITGB2;TCIRG1;TNF;CTSS;EEA1;FCGR3A;CASP8;FCGR3B;CASP3;MRC1;ITGAX;EP300;LBP;HLA-DOA;CAMP;IL10;ATP6V0B;CR1;FCER1G;APAF1;KSR1;IFNGR1;SPHK2;IFNGR2;SPHK1;IRAK4;TNFRSF1A;TLR1;IL1A;IFNG;IL23A;IL1B;RFX5;TLR9;TLR6;CLEC4E;HLA-DQB1;TLR2;CAMK2D;CEBPB;SRC;BCL10;NOD2;MALT1;HSPD1;CYP27B1;HLA-DMB;CLEC7A;IRAK2;CD14;BID;FCGR1A;HLA-DQA1;PLK3;CD74;TGFB1;NFYA;TGFB3;VDR;STAT1;IL10RA;NFKB1;MAPK12;IL6;FCGR2A;CD209;HLA-DRA;BAX;CALM1;RAB5A;FCGR2C;MYD88
KEGG_2021_Human,NOD-like receptor signaling pathway,73/181,5.984599388992478e-13,2.061362011764076e-11,0,0,3.1902143124365345,89.78672131604124,CXCL8;TNFAIP3;CXCL1;CXCL3;TNF;CXCL2;PANX1;PSTPIP1;TBK1;CASP8;CASP5;CASP4;CASP1;DNM1L;IKBKE;CAMP;IFNAR2;GBP5;CHUK;RIPK3;PRKCD;CYBA;IRAK4;TYK2;TICAM1;PLCB3;AIM2;OAS1;OAS2;TRAF3;IL1B;OAS3;IRF7;CARD16;PLCB2;NAIP;BIRC2;IRF9;IFNAR1;BIRC3;RNASEL;NLRX1;ITPR2;NLRC4;NOD2;MEFV;TRPM2;IFI16;CCL5;NLRP3;CCL2;TRPM7;TP53BP1;GBP2;GBP1;GBP4;ATG5;GBP3;JUN;STAT1;CARD8;STAT2;TRPV2;CARD6;ERBIN;NFKB1;MAPK12;NFKBIA;IL6;STING1;PKN2;MYD88;NFKBIB
KEGG_2021_Human,Chemokine signaling pathway,75/192,1.951917452268595e-12,5.679946417655873e-11,0,0,3.0255743871106278,81.57616872110304,CXCL6;ITK;CXCL9;CXCL8;CCL4L1;CCL4L2;CXCL1;ARRB2;CXCL13;CXCL3;CXCL2;CXCL5;CXCL16;PREX1;GNGT2;RAC2;CCR7;CCR5;PRKACB;JAK3;CCR2;MAP2K1;CHUK;PRKCB;PRKCD;VAV1;FGR;TIAM1;HCK;PLCB3;DOCK2;SOS1;PLCB2;SOS2;CCL11;CCL3L1;ROCK1;SHC1;SRC;CCL3L3;GNAI3;CXCR4;CXCR6;RASGRP2;ADCY7;PIK3R5;GNAI2;PAK1;GRK2;CCL8;CCL7;CXCR1;GNG5;CCL5;GRK6;CCL4;CXCR2;PLCG2;CCL3;CCL2;CCL18;CCL17;CCR1;CCL22;CCL20;STAT1;STAT2;STAT3;NFKB1;NFKBIA;CXCL10;CXCL11;GRB2;BCAR1;NFKBIB
