pathway,contrast,t,p,mean_ref,mean_case,FDR
Androgen,NN vs PG,2.679,0.0183,0.5899871516715447,-0.1855334481524998,0.024945454545454545
Androgen,SS vs PG,1.472,0.145,0.10802374391401047,-0.1855334481524998,0.18454545454545454
EGFR,NN vs PG,-15.918,1.23e-22,-1.7901106025297355,0.3248367437409787,8.61e-22
EGFR,SS vs PG,-2.049,0.0432,-0.02087611359287578,0.3248367437409787,0.1099
Estrogen,NN vs PG,4.178,0.000806,0.9767594078336049,-0.0965024274673676,0.0014104999999999999
Estrogen,SS vs PG,0.019,0.985,-0.09267673967174515,-0.0965024274673676,0.985
Hypoxia,NN vs PG,-5.337,6.74e-05,-1.0658879466512639,0.26927456005808953,0.0001348
Hypoxia,SS vs PG,-2.012,0.0471,-0.11020100037457937,0.26927456005808953,0.1099
JAK-STAT,NN vs PG,-9.517,1.22e-09,-1.4725631540319548,0.016702603943991288,4.2699999999999995e-09
JAK-STAT,SS vs PG,1.522,0.132,0.30570845581261835,0.016702603943991288,0.18454545454545454
MAPK,NN vs PG,-9.731,9.17e-09,-1.6969482846777946,0.30351088160436385,2.5676000000000004e-08
MAPK,SS vs PG,-1.866,0.0651,-0.014092184139439927,0.30351088160436385,0.1302
NFkB,NN vs PG,-19.43,2.96e-24,-2.0970038058863003,0.36724494640632976,4.144e-23
NFkB,SS vs PG,-2.462,0.0156,-0.007337085171203501,0.36724494640632976,0.1043
PI3K,NN vs PG,-8.501,8.5e-07,-1.8727828932016943,0.2989388592958928,1.983333333333333e-06
PI3K,SS vs PG,-1.676,0.0968,0.030875002063451427,0.2989388592958928,0.1547777777777778
TGFb,NN vs PG,-0.206,0.84,0.1063474423118086,0.1756784490932017,0.9046153846153846
TGFb,SS vs PG,-2.204,0.0298,-0.2500627660116299,0.1756784490932017,0.1043
TNFa,NN vs PG,-17.647,3.36e-18,-2.0896002869416455,0.3826737254317217,1.568e-17
TNFa,SS vs PG,-2.713,0.00791,-0.02886829345829509,0.3826737254317217,0.1043
Trail,NN vs PG,-3.369,0.0061,-1.0535961930244195,0.16289643913224772,0.009488888888888889
Trail,SS vs PG,-0.734,0.465,0.024177076901642093,0.16289643913224772,0.5425000000000001
VEGF,NN vs PG,0.032,0.975,-0.16584245635792816,-0.17344059743478815,0.975
VEGF,SS vs PG,2.238,0.0274,0.26039953810659927,-0.17344059743478815,0.1043
WNT,NN vs PG,-2.681,0.0196,-0.853221632794288,0.060654808270869234,0.024945454545454545
WNT,SS vs PG,0.265,0.791,0.11142749884962214,0.060654808270869234,0.8518461538461538
p53,NN vs PG,2.053,0.0513,0.3264550351415151,-0.1716814187287187,0.059849999999999993
p53,SS vs PG,1.663,0.0995,0.1487327096633357,-0.1716814187287187,0.1547777777777778
