population,ref,case,t,p,mean_ref,mean_case,n_markers,FDR
B lineage,NN,PG,-7.358,3.916123933098609e-09,0.6109524248415796,2.319200213075533,7,1.305374644366203e-08
B lineage,SS,PG,-5.238,1.0952502177417718e-06,1.2233607373030904,2.319200213075533,7,1.0952502177417718e-05
CD8 T cells,NN,PG,-1.688,0.11170012861669852,0.5541587041461172,1.014387589401827,1,0.1241112540185539
CD8 T cells,SS,PG,-0.54,0.5903205866488033,0.9012173599516049,1.014387589401827,1,0.6559117629431148
Cytotoxic lymphocytes,NN,PG,-3.153,0.0069239821763807255,1.7253254532843383,2.5824473060051223,7,0.013847964352761453
Cytotoxic lymphocytes,SS,PG,-0.68,0.49818412125289224,2.453393496459588,2.5824473060051223,7,0.6227301515661153
Endothelial cells,NN,PG,0.753,0.46322731762455105,4.32905105862439,4.24350425122242,28,0.46322731762455105
Endothelial cells,SS,PG,-1.708,0.09089878544963073,4.10281465410807,4.24350425122242,28,0.16294945622037024
Fibroblasts,NN,PG,2.804,0.012144984061981891,9.372331459520755,8.980709574430433,8,0.020241640103303152
Fibroblasts,SS,PG,-3.292,0.0014165716442815896,8.592324789611585,8.980709574430433,8,0.0070828582214079484
Monocytic lineage,NN,PG,-17.918,1.1826523617342077e-11,3.9825310910112988,6.5080704565804925,7,5.913261808671038e-11
Monocytic lineage,SS,PG,-0.992,0.324396134599862,6.370093425950516,6.5080704565804925,7,0.4634230494283743
Myeloid dendritic cells,NN,PG,2.493,0.024881546619078508,3.525160595085152,2.746877054149342,5,0.03554506659868358
Myeloid dendritic cells,SS,PG,-0.016,0.9871829653825018,2.7429453240477,2.746877054149342,5,0.9871829653825019
NK cells,NN,PG,-2.453,0.02887708475850924,0.45592463468685046,0.6731829672845988,9,0.03609635594813655
NK cells,SS,PG,-1.675,0.09776967373222215,0.563687352939718,0.6731829672845988,9,0.16294945622037024
Neutrophils,NN,PG,-13.498,2.16411340419631e-19,2.608826538666514,4.768228245335727,11,2.16411340419631e-18
Neutrophils,SS,PG,-2.411,0.017873696636997224,4.2640833653552175,4.768228245335727,11,0.04468424159249306
T cells,NN,PG,-6.973,3.6615752401625187e-07,2.1486957167230925,3.367522188991088,15,9.153938100406297e-07
T cells,SS,PG,-2.619,0.010278168032277482,2.928776618541451,3.367522188991088,15,0.034260560107591605
