probe,fc_CD_ileum,fc_UC_colon,fc_CD_colon
7892501,0.137,0.0836,0.0131
7892502,0.0988,0.0934,0.1484
7892503,0.1489,-0.1961,0.0527
7892504,-0.1314,0.1801,0.2938
7892505,-0.1401,0.0265,0.1355
7892506,0.2097,-0.0629,0.0744
7892507,-0.1236,-0.1678,-0.2326
7892508,-0.07,-0.0505,-0.0098
7892509,0.0332,0.0833,-0.1268
7892510,0.139,-0.0952,0.3694
7892511,0.103,-0.0274,-0.1129
7892512,-0.3358,-0.4354,-0.2561
7892513,0.1345,-0.1364,0.0101
7892514,0.1754,0.1997,0.2442
7892515,0.0379,-0.0685,-0.0076
7892516,0.1682,0.1619,0.1348
7892517,-0.1037,0.0519,0.2197
7892518,-0.1171,0.0404,-0.1537
7892519,-0.0674,-0.209,-0.0538
7892520,-0.0752,0.1365,0.197
7892521,-0.0944,-0.1302,-0.0015
7892522,-0.0578,-0.1005,-0.0309
7892524,0.2211,-0.2222,-0.483
7892525,-0.0493,-0.1455,-0.1588
7892526,0.1383,-0.0976,-0.0285
7892527,0.426,0.4063,0.1054
7892528,0.0355,-0.0944,-0.1566
7892529,0.2674,-0.1332,-0.1248
7892530,0.0944,0.5856,0.4848
7892531,0.2446,-0.2363,-0.1846
7892532,-0.1251,-0.0201,0.2195
7892533,-0.2832,-0.3656,-0.3028
7892534,0.0755,-0.4166,-0.441
7892535,0.3475,-0.0295,-0.0067
7892536,0.4468,-0.0281,-0.2623
7892537,-0.0094,-0.1794,-0.1398
7892538,-0.1328,-0.2936,0.195
7892539,0.2796,-0.4967,-0.2551
7892540,0.189,0.0845,0.3671
7892541,0.0106,-0.2888,-0.1203
7892542,-0.0225,0.0675,-0.0506
7892543,0.2047,-0.1843,-0.4661
7892544,-0.1666,-0.0533,0.1326
7892545,-0.179,-0.0266,-0.0555
7892547,-0.0689,-0.3177,-0.1201
7892548,-0.0519,-0.2571,-0.0257
7892549,-0.0035,0.262,0.0062
7892550,0.1326,-0.232,-0.1656
7892551,0.0449,0.0253,0.0861
7892552,-0.0431,0.1155,-0.0248
7892553,0.2991,0.1137,-0.2368
7892554,0.0473,-0.0665,-0.2613
7892555,0.1455,-0.562,-0.1802
7892556,0.1113,0.0306,-0.1151
7892557,-0.0106,0.1392,0.1287
7892558,-0.1028,-0.2027,-0.1598
7892559,-0.0855,0.2145,0.2024
7892560,0.05,-0.1095,-0.0165
7892561,-0.0929,-0.2462,-0.1988
7892562,-0.0516,-0.0117,-0.1541
7892563,0.1258,0.0229,-0.0949
7892564,-0.2022,-0.2486,-0.3055
7892565,-0.1667,-0.0743,-0.1106
7892566,0.0048,0.0179,0.0377
7892567,-0.0543,0.3397,0.4027
7892568,0.1383,0.0386,-0.0514
7892569,-0.3422,-0.447,-0.361
7892570,0.131,0.0291,-0.2764
7892571,0.0282,-0.1686,-0.2501
7892572,0.5576,-0.113,-0.1405
7892573,0.0429,-0.004,0.225
7892574,-0.0539,0.1928,0.2485
7892575,0.2828,-0.3217,-0.3048
7892576,-0.0464,0.1399,-0.0249
7892577,-0.008,0.0566,0.092
7892578,-0.036,-0.0256,-0.2289
7892579,0.0136,-0.0604,-0.1934
7892580,-0.1236,0.1606,0.0151
7892581,0.0149,0.2057,0.2965
