"trait","trait_id","nsnp1","b1","se1","p1","nsnp2","b2","se2","p2","b_total","se_total","prop_mediated","prop_se","prop_p","step2_fdr","step1_fdr","prop_fdr"
"CD11c+ monocyte AC","ebi-a-GCST90001448",78,-0.0138628417955502,0.022329538523965,0.534711647413604,0,NA,NA,NA,0.213176855902649,0.0826428103531949,NA,NA,NA,NA,0.828714643519275,NA
"CD62L- monocyte AC","ebi-a-GCST90001450",78,-0.0302024182456596,0.0231077290507438,0.191203652497646,3,-0.737706418392218,0.582631579230054,0.20545481096697,0.213176855902649,0.0826428103531949,0.104516588803449,0.114927181236746,0.363130710782297,0.526228136721221,0.679835208880518,0.844097306908824
"HLA DR++ monocyte AC","ebi-a-GCST90001477",78,-0.0132906326593913,0.0211159378846707,0.529079117017759,0,NA,NA,NA,0.213176855902649,0.0826428103531949,NA,NA,NA,NA,0.828714643519275,NA
"CD11c+ HLA DR++ monocyte AC","ebi-a-GCST90001456",78,-0.0251385856065682,0.0224902620681585,0.263671973573385,0,NA,NA,NA,0.213176855902649,0.0826428103531949,NA,NA,NA,NA,0.828714643519275,NA
"CD4 regulatory T cell AC","ebi-a-GCST90001513",78,-6.85204503253074e-05,0.0238462871196232,0.997707343960645,0,NA,NA,NA,0.213176855902649,0.0826428103531949,NA,NA,NA,NA,0.997707343960645,NA
"Resting CD4 regulatory T cell AC","ebi-a-GCST90001490",33,0.0107318952913525,0.035427630329896,0.761947440890951,0,NA,NA,NA,0.213176855902649,0.0826428103531949,NA,NA,NA,NA,0.90304881883372,NA
"Activated CD4 regulatory T cell AC","ebi-a-GCST90001496",78,0.0534899020706448,0.0246056824018085,0.0297138394337299,5,-0.0294687895280987,0.753788424686102,0.968815249102711,0.213176855902649,0.0826428103531949,-0.00739424858915397,0.189169636961929,0.968820288036315,0.968815249102711,0.234835878813307,0.968820288036315
"Secreting CD4 regulatory T cell AC","ebi-a-GCST90001502",78,0.00999089575971929,0.0197461348607606,0.612879704421829,14,-0.0546465388575947,0.0755556590077776,0.469518919441269,0.213176855902649,0.0826428103531949,-0.00256110294451948,0.00617744140256993,0.678442364653225,0.616742373641666,0.851789933113734,0.844097306908824
"Activated & secreting CD4 regulatory T cell AC","ebi-a-GCST90001511",78,0.00495937197673868,0.036198086844578,0.891025683696694,6,0.0519588367693807,0.152101337419811,0.732646890264438,0.213176855902649,0.0826428103531949,0.00120877661848846,0.00950590811756462,0.898813318898097,0.79925115301575,0.960640021095742,0.968820288036315
"CD25++ CD4+ T cell AC","ebi-a-GCST90001504",78,0.00363294232186752,0.0290860142289391,0.900600019777258,0,NA,NA,NA,0.213176855902649,0.0826428103531949,NA,NA,NA,NA,0.960640021095742,NA
"Naive CD4+ T cell AC","ebi-a-GCST90001540",78,-0.0183310231943824,0.0205800482868282,0.373080378080304,0,NA,NA,NA,0.213176855902649,0.0826428103531949,NA,NA,NA,NA,0.828714643519275,NA
"Central memory CD4+ T cell AC","ebi-a-GCST90001547",78,0.0306394155070238,0.0214261942572958,0.152717585437374,4,0.277823973889084,0.226150115710898,0.219261723633842,0.213176855902649,0.0826428103531949,0.0399309959693163,0.0428515037590398,0.35141619524972,0.526228136721221,0.610870341749497,0.844097306908824
"Effector memory CD4+ T cell AC","ebi-a-GCST90001552",78,-0.0349107758158065,0.0160749963407745,0.0298749825958571,0,NA,NA,NA,0.213176855902649,0.0826428103531949,NA,NA,NA,NA,0.234835878813307,NA
"Terminally differentiated CD4+ T cell AC","ebi-a-GCST90001555",78,0.0383174064528585,0.0183410376806403,0.0366931060645792,7,-0.235004021461108,0.164689371777972,0.153593392848916,0.213176855902649,0.0826428103531949,-0.0422407234136792,0.0358481196029876,0.238667199552726,0.526228136721221,0.234835878813307,0.844097306908824
"CD45RA- CD4+ T cell AC","ebi-a-GCST90001544",78,0.0315948807065426,0.02032255375802,0.120024494725596,4,-0.222982189288445,0.313576888329777,0.477026886008784,0.213176855902649,0.0826428103531949,-0.0330481263569691,0.0511058914181838,0.51785213547917,0.616742373641666,0.578075685790453,0.844097306908824
"Naive CD8+ T cell AC","ebi-a-GCST90001551",78,-0.0116682498209891,0.0156066070067457,0.454672453585697,3,0.524724388471101,0.471946517714878,0.266211166889322,0.213176855902649,0.0826428103531949,-0.0287208253725373,0.0462925259103568,0.53498107456806,0.532422333778643,0.828714643519275,0.844097306908824
"Central memory CD8+ T cell AC","ebi-a-GCST90001548",78,-0.0121972963805992,0.0247689912897206,0.622406778212765,0,NA,NA,NA,0.213176855902649,0.0826428103531949,NA,NA,NA,NA,0.851789933113734,NA
"Effector memory CD8+ T cell AC","ebi-a-GCST90001554",78,0.0630150719345669,0.0233068499639996,0.0068569142685386,0,NA,NA,NA,0.213176855902649,0.0826428103531949,NA,NA,NA,NA,0.219421256593235,NA
"Terminally differentiated CD8+ T cell AC","ebi-a-GCST90001557",78,0.0475593807051049,0.0224671482725028,0.0342733440423155,0,NA,NA,NA,0.213176855902649,0.0826428103531949,NA,NA,NA,NA,0.234835878813307,NA
"CD45RA+ CD8+ T cell AC","ebi-a-GCST90001560",78,0.0152574878007293,0.0199457788870106,0.444302386309989,3,0.309981775681672,0.326866619417914,0.342954703143454,0.213176855902649,0.0826428103531949,0.0221860067355124,0.0372624785799271,0.55157743494363,0.587922348245921,0.828714643519275,0.844097306908824
"Memory B cell AC","ebi-a-GCST90001407",78,0.0226657185444034,0.0224030443660172,0.311669591070389,0,NA,NA,NA,0.213176855902649,0.0826428103531949,NA,NA,NA,NA,0.828714643519275,NA
"Naive-mature B cell AC","ebi-a-GCST90001409",78,-0.0158533639230782,0.0245281760835822,0.518063871474189,0,NA,NA,NA,0.213176855902649,0.0826428103531949,NA,NA,NA,NA,0.828714643519275,NA
"Switched memory B cell AC","ebi-a-GCST90001403",78,0.00327260798253109,0.0228168269606214,0.885950920437055,0,NA,NA,NA,0.213176855902649,0.0826428103531949,NA,NA,NA,NA,0.960640021095742,NA
"Plasma blast/plasma cell AC","ebi-a-GCST90001405",78,-0.00149763595067101,0.0206673504838327,0.942232766964954,0,NA,NA,NA,0.213176855902649,0.0826428103531949,NA,NA,NA,NA,0.97262737235092,NA
"Myeloid dendritic cell AC","ebi-a-GCST90001458",78,0.0355178946916821,0.0232411121762969,0.126454056266662,3,0.595467065862792,0.462981444594257,0.198388093641221,0.213176855902649,0.0826428103531949,0.0992121609455483,0.100820963078278,0.325094380818003,0.526228136721221,0.578075685790453,0.844097306908824
"Plasmacytoid dendritic cell AC","ebi-a-GCST90001460",78,-0.0144410649396364,0.0227874911938759,0.526258528316978,0,NA,NA,NA,0.213176855902649,0.0826428103531949,NA,NA,NA,NA,0.828714643519275,NA
"Dendritic cell AC","ebi-a-GCST90001461",75,0.0168558943776407,0.0227944975251512,0.459620390625767,0,NA,NA,NA,0.213176855902649,0.0826428103531949,NA,NA,NA,NA,0.828714643519275,NA
"Immature MDSC AC","ebi-a-GCST90001515",78,0.011066553900137,0.0283210577927729,0.69597941153158,0,NA,NA,NA,0.213176855902649,0.0826428103531949,NA,NA,NA,NA,0.856590044961944,NA
"Granulocytic MDSC AC","ebi-a-GCST90001524",78,0.012613423300255,0.0268760776660971,0.6388424498353,0,NA,NA,NA,0.213176855902649,0.0826428103531949,NA,NA,NA,NA,0.851789933113734,NA
"Monocytic MDSC AC","ebi-a-GCST90001530",78,-0.0114400850426552,0.0285866202692422,0.68901643833648,3,0.374453039885213,0.303085989259869,0.21665638013382,0.213176855902649,0.0826428103531949,-0.0200949329261327,0.0527820299556808,0.70341442242402,0.526228136721221,0.856590044961944,0.844097306908824
"CD66b++ myeloid cell AC","ebi-a-GCST90001529",78,0.0168884189527304,0.0278222875319559,0.543843984809524,0,NA,NA,NA,0.213176855902649,0.0826428103531949,NA,NA,NA,NA,0.828714643519275,NA
"Basophil AC","ebi-a-GCST90001532",78,0.0181868759822842,0.0282235768581198,0.519325202338711,3,0.052185926627177,0.0799543569580151,0.513951978034721,0.213176855902649,0.0826428103531949,0.00445216705899102,0.00970902499819831,0.646550421380939,0.616742373641666,0.828714643519275,0.844097306908824
