intervention,endpoint,deterministic,median,p2.5,p97.5,min,max
CXCL8 KO,NEUT,75.5,75.94,65.82,83.49,61.06,86.26
CXCL8 KO,D,48.42,48.91,36.39,61.19,32.21,66.52
IL1B KO,NEUT,100.0,100.0,100.0,100.0,100.0,100.0
IL1B KO,D,100.0,100.0,100.0,100.0,100.0,100.0
TNF KO,NEUT,28.23,27.96,20.57,37.79,17.49,42.14
TNF KO,D,10.7,10.52,6.43,17.12,4.63,20.22
STAT3 KO,NEUT,7.53,7.54,4.87,11.23,3.98,13.33
STAT3 KO,D,2.42,2.42,1.42,4.18,1.19,5.46
JAK2 inhibition,NEUT,5.7,5.68,3.71,8.3,2.98,9.46
JAK2 inhibition,D,1.81,1.8,1.08,3.09,0.89,3.79
