gene,fc_PG_vs_NN,p_PG_vs_NN,fc_SS_vs_NN,p_SS_vs_NN
ACADM,-0.488,0.0438,-0.5249,0.065296
AGL,-0.5333,4.5e-05,-0.4944,9.6e-05
AGT,-0.8118,0.047597,-0.9164,0.030083
AMPD1,0.1024,0.303253,-0.0288,0.720015
C8B,0.0,nan,0.0,nan
CACNA1S,0.0,nan,0.0,nan
LYST,0.3273,0.167446,0.3433,0.149814
CLCNKB,-0.4371,0.101861,-0.403,0.128737
CPT2,-0.3022,0.038103,-0.2204,0.113992
DPYD,1.3829,0.0,1.3658,0.0
EPHX1,-1.769,0.0,-1.3188,3e-06
F5,1.1801,0.000974,1.0335,0.003399
FH,-0.6935,0.015386,-0.5337,0.047933
FUCA1,0.0194,0.964034,-0.0005,0.999131
GBA,0.0,nan,0.0,nan
CFH,-1.3956,1e-06,-1.0781,2.1e-05
HMGCL,0.2063,0.276809,0.1203,0.572113
HSD3B2,0.0,nan,0.0,nan
LAMB3,0.7337,0.038354,0.5554,0.111119
MTR,0.0245,0.873636,0.1134,0.457414
MYOC,-3.9441,8.8e-05,-3.5961,0.000161
PKLR,-1.2508,0.001593,-0.9587,0.00936
PKP1,-0.7368,0.009643,-0.3127,0.200203
PLA2G2A,-1.6122,0.097297,1.6682,0.085081
PLOD1,0.4592,0.079777,0.1093,0.726202
PPOX,-1.7496,0.002676,-1.3452,0.014925
PPT1,0.4562,0.002833,0.6201,0.000244
RPE65,-0.0357,0.664603,-0.0881,0.273791
ABCA4,-0.9125,0.001709,-0.6332,0.028849
TNNT2,-2.1801,0.001311,-1.7555,0.005343
UROD,-0.3546,0.148084,-0.1013,0.639741
CTSK,-0.3445,0.52858,-0.3827,0.488861
GALE,1.2314,0.016109,1.3712,0.009327
LOR,-4.1596,0.0,-3.6214,0.0
NCF2,2.3944,0.0,2.3826,0.0
PAFAH2,-0.5238,0.002557,-0.2641,0.115612
PSEN2,0.3227,0.585537,0.5246,0.380739
RFX5,0.5273,0.001494,0.5168,0.003762
SELE,2.1927,1.1e-05,2.9933,0.0
ALPL,4.3068,0.0,3.1013,0.0
SERPINC1,0.1275,0.007389,0.0656,0.112824
C1QB,1.9915,7e-06,1.6661,3.7e-05
MPZ,-2.2751,0.001524,-1.8056,0.00666
REN,0.4117,0.002552,0.5539,0.000408
TSHB,0.0,nan,0.0,nan
CD53,3.0575,0.000323,3.1703,0.000274
GSTM1,0.0108,0.321537,0.0,nan
C8A,0.2495,0.002117,0.2233,0.005213
IL6R,1.6729,0.0,1.6711,0.0
